{'instruction': 4162137, 'rip': '0x180c25c65', 'access': 'write', 'address': '0x7ffe1febe8', 'size': 8, 'value': '0x1807da5c0'}
{'instruction': 4162138, 'rip': '0x180c25c68', 'access': 'read', 'address': '0x7ffe1febe8', 'size': 8, 'value': '0x0'}
{'instruction': 4162142, 'rip': '0x180c25c81', 'access': 'read', 'address': '0x7ffe1fec00', 'size': 8, 'value': '0x0'}
{'instruction': 4162142, 'rip': '0x180c25c81', 'access': 'write', 'address': '0x7ffe1febf8', 'size': 8, 'value': '0x7ffe1fee38'}
{'instruction': 4162144, 'rip': '0x180c25cc8', 'access': 'read', 'address': '0x7ffe1febf8', 'size': 8, 'value': '0x0'}
{'instruction': 4162144, 'rip': '0x180c25cc8', 'access': 'write', 'address': '0x7ffe1febf0', 'size': 8, 'value': '0x7ffe1fee38'}
{'instruction': 4162145, 'rip': '0x180c25ccb', 'access': 'read', 'address': '0x7ffe1febf0', 'size': 8, 'value': '0x0'}
{'instruction': 4162150, 'rip': '0x180c258eb', 'access': 'read', 'address': '0x7ffe1fec08', 'size': 8, 'value': '0x0'}
{'instruction': 4162150, 'rip': '0x180c258eb', 'access': 'write', 'address': '0x7ffe1fec00', 'size': 8, 'value': '0x1807c3ad0'}
{'instruction': 4162151, 'rip': '0x180c258ee', 'access': 'read', 'address': '0x7ffe1fec00', 'size': 8, 'value': '0x0'}
{'instruction': 4162151, 'rip': '0x180c258ee', 'access': 'write', 'address': '0x7ffe1febf8', 'size': 8, 'value': '0x1807c3ad0'}
{'instruction': 4162152, 'rip': '0x180c258f1', 'access': 'read', 'address': '0x7ffe1febf8', 'size': 8, 'value': '0x0'}
{'instruction': 4162155, 'rip': '0x180c258fe', 'access': 'read', 'address': '0x7ffe1fec10', 'size': 8, 'value': '0x0'}
{'instruction': 4162155, 'rip': '0x180c258fe', 'access': 'write', 'address': '0x7ffe1fec08', 'size': 8, 'value': '0x1807ddf00'}
{'instruction': 4162156, 'rip': '0x180c25901', 'access': 'read', 'address': '0x7ffe1fec08', 'size': 8, 'value': '0x0'}
{'instruction': 4162156, 'rip': '0x180c25901', 'access': 'write', 'address': '0x7ffe1fec00', 'size': 8, 'value': '0x1807ddf00'}
{'instruction': 4162157, 'rip': '0x180c25904', 'access': 'read', 'address': '0x7ffe1fec00', 'size': 8, 'value': '0x0'}
{'instruction': 4162160, 'rip': '0x180c25911', 'access': 'read', 'address': '0x7ffe1fec18', 'size': 8, 'value': '0x0'}
{'instruction': 4162160, 'rip': '0x180c25911', 'access': 'write', 'address': '0x7ffe1fec10', 'size': 8, 'value': '0x180668438'}
{'instruction': 4162162, 'rip': '0x180c25acf', 'access': 'read', 'address': '0x7ffe1fec10', 'size': 8, 'value': '0x0'}
{'instruction': 4162162, 'rip': '0x180c25acf', 'access': 'write', 'address': '0x7ffe1fec08', 'size': 8, 'value': '0x180668438'}
{'instruction': 4162163, 'rip': '0x180c25ad2', 'access': 'read', 'address': '0x7ffe1fec08', 'size': 8, 'value': '0x0'}
{'instruction': 4162167, 'rip': '0x180c25d03', 'access': 'read', 'address': '0x7ffe1fec20', 'size': 8, 'value': '0x0'}
{'instruction': 4162167, 'rip': '0x180c25d03', 'access': 'write', 'address': '0x7ffe1fec18', 'size': 8, 'value': '0x20000100080'}
{'instruction': 4162168, 'rip': '0x180c25d06', 'access': 'read', 'address': '0x7ffe1fec18', 'size': 8, 'value': '0x0'}
{'instruction': 4162168, 'rip': '0x180c25d06', 'access': 'write', 'address': '0x7ffe1fec10', 'size': 8, 'value': '0x20000100080'}
