1296612 0x180a83170 4889c6 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83170'}
1296613 0x180a83173 4831f8 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83173'}
1296614 0x180a83176 480fb73f {'rax': '0x18098c96b', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83176'}
1296615 0x180a8317a 49c7c3c9000000 {'rax': '0x18098c96b', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x4cf8', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a8317a'}
1296616 0x180a83181 6681ef974c {'rax': '0x18098c96b', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x4cf8', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83181'}
1296617 0x180a83186 4889c0 {'rax': '0x18098c96b', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83186'}
1296618 0x180a83189 480fb7ff {'rax': '0x18098c96b', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83189'}
1296619 0x180a8318d 4831f0 {'rax': '0x18098c96b', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a8318d'}
1296620 0x180a83190 4d0fb73f {'rax': '0x18098c969', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83190'}
1296621 0x180a83194 4881c190000000 {'rax': '0x18098c969', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a83194'}
